epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5857,2.35134,4.19753,2.18857,0.0036,0.29015,0.00364,0.00168,2.38315,4.05295,2.29327,0.0021,0.0021,0.0021
2,35.1262,1.77517,3.67911,1.71506,0.01358,0.58995,0.09194,0.03718,1.7529,3.48377,1.69212,0.00429574,0.00429574,0.00429574
3,52.4302,1.7231,3.08732,1.63392,0.87273,0.02884,0.0601,0.02762,2.58857,3.7741,2.40299,0.00648713,0.00648713,0.00648713
4,68.9341,1.73662,2.64788,1.60397,0.50808,0.07422,0.02777,0.00965,2.83903,4.01383,2.87095,0.00867416,0.00867416,0.00867416
5,85.3951,1.77684,2.5097,1.62514,0.24032,0.14271,0.01358,0.00423,2.97784,5.90331,3.7494,0.0099604,0.0099604,0.0099604
6,102.368,1.80058,2.432,1.65387,0.02563,0.17381,0.01505,0.00367,3.46844,8.11099,4.03138,0.0099505,0.0099505,0.0099505
7,118.859,1.77812,2.29177,1.61769,0.26976,0.13468,0.0224,0.01106,3.21786,26.1288,3.93115,0.0099406,0.0099406,0.0099406
8,136.321,1.73724,2.18041,1.59267,0.37878,0.0974,0.09152,0.03702,2.71733,5.68393,3.14096,0.0099307,0.0099307,0.0099307
9,152.917,1.71622,2.09826,1.57237,0.34027,0.25743,0.14484,0.05729,2.28721,3.49508,2.37092,0.0099208,0.0099208,0.0099208
10,169.98,1.67044,2.00963,1.54908,0.14486,0.17902,0.05629,0.02078,2.57343,7.79134,2.92291,0.0099109,0.0099109,0.0099109
11,186.407,1.6459,1.96906,1.54105,0.4449,0.31839,0.28647,0.12188,2.05054,2.71932,2.09565,0.009901,0.009901,0.009901
12,203.283,1.61322,1.85875,1.52971,0.37645,0.31393,0.25474,0.1087,2.23608,3.80967,2.20878,0.0098911,0.0098911,0.0098911
13,219.61,1.60565,1.86708,1.50334,0.35238,0.21875,0.17823,0.07427,2.25264,3.29022,2.19067,0.0098812,0.0098812,0.0098812
14,236.514,1.58232,1.7924,1.49996,0.27545,0.34793,0.23348,0.12579,2.2956,3.45383,2.28165,0.0098713,0.0098713,0.0098713
15,255.341,1.56803,1.75462,1.48786,0.38232,0.09914,0.07936,0.03537,2.85949,4.04537,2.91887,0.0098614,0.0098614,0.0098614
16,272.998,1.51561,1.68568,1.44473,0.51691,0.5362,0.52758,0.28391,1.79272,1.99904,1.76382,0.0098515,0.0098515,0.0098515
17,289.596,1.52405,1.67164,1.46108,0.35069,0.42609,0.32276,0.17334,2.08623,3.15747,2.02805,0.0098416,0.0098416,0.0098416
18,308.064,1.54152,1.66545,1.45516,0.45056,0.42182,0.345,0.15817,1.96833,2.27367,1.88506,0.0098317,0.0098317,0.0098317
19,324.935,1.53749,1.66299,1.46817,0.5931,0.53509,0.55268,0.29379,1.64833,1.82844,1.54869,0.0098218,0.0098218,0.0098218
20,341.524,1.50212,1.60338,1.44814,0.5101,0.54175,0.53095,0.28251,1.72532,1.83899,1.6647,0.0098119,0.0098119,0.0098119
21,358.853,1.51023,1.61592,1.44263,0.54058,0.50839,0.51833,0.26464,1.64771,1.80891,1.58835,0.009802,0.009802,0.009802
22,375.563,1.46929,1.54824,1.41639,0.40037,0.3825,0.28172,0.12161,2.14808,2.86318,2.12391,0.0097921,0.0097921,0.0097921
23,393.321,1.46758,1.53265,1.40208,0.54418,0.54796,0.54595,0.28268,1.71633,1.87614,1.69129,0.0097822,0.0097822,0.0097822
24,409.909,1.43563,1.48681,1.39229,0.49359,0.41819,0.39592,0.1959,1.93918,2.43487,1.83567,0.0097723,0.0097723,0.0097723
25,427.245,1.45343,1.50782,1.40079,0.59379,0.53357,0.58606,0.33385,1.56386,1.83356,1.51164,0.0097624,0.0097624,0.0097624
26,443.868,1.45986,1.46619,1.39826,0.69329,0.61231,0.66598,0.3864,1.65618,1.55887,1.6078,0.0097525,0.0097525,0.0097525
27,461.295,1.40271,1.43728,1.35984,0.63611,0.62752,0.64893,0.39351,1.58305,1.59324,1.51716,0.0097426,0.0097426,0.0097426
28,477.818,1.40928,1.42729,1.36577,0.66055,0.66331,0.65858,0.38895,1.55845,1.54253,1.48441,0.0097327,0.0097327,0.0097327
29,494.781,1.41207,1.42498,1.36673,0.51832,0.42878,0.4307,0.22766,1.81254,2.13223,1.77898,0.0097228,0.0097228,0.0097228
30,511.405,1.38288,1.39525,1.36199,0.72473,0.61625,0.68884,0.42433,1.48388,1.44416,1.43566,0.0097129,0.0097129,0.0097129
31,528.47,1.39791,1.39172,1.36311,0.4025,0.36358,0.31186,0.14754,1.81419,1.97316,1.81323,0.009703,0.009703,0.009703
32,544.783,1.39369,1.3816,1.35669,0.59996,0.54714,0.55942,0.3183,1.71845,1.88781,1.63785,0.0096931,0.0096931,0.0096931
33,562.302,1.36742,1.35972,1.33952,0.59989,0.53211,0.54822,0.33033,1.70579,2.09112,1.69676,0.0096832,0.0096832,0.0096832
34,578.65,1.37074,1.35935,1.35458,0.60102,0.66259,0.67514,0.39342,1.53488,1.50715,1.50865,0.0096733,0.0096733,0.0096733
35,598.751,1.3684,1.34436,1.33923,0.48514,0.32249,0.32175,0.18148,2.04075,2.49935,2.00188,0.0096634,0.0096634,0.0096634
36,615.513,1.34993,1.35155,1.33146,0.45675,0.50562,0.40386,0.19538,1.74922,2.1938,1.66595,0.0096535,0.0096535,0.0096535
37,633.225,1.36042,1.28156,1.32439,0.76289,0.6921,0.77146,0.48109,1.45693,1.23603,1.42996,0.0096436,0.0096436,0.0096436
38,649.289,1.35106,1.31457,1.32983,0.72392,0.62841,0.69958,0.4341,1.57204,1.50267,1.54304,0.0096337,0.0096337,0.0096337
39,666.739,1.32553,1.30202,1.31052,0.67081,0.62905,0.65096,0.40112,1.55924,1.53587,1.54613,0.0096238,0.0096238,0.0096238
40,682.803,1.32031,1.24784,1.31301,0.69753,0.61848,0.66193,0.40942,1.51765,1.42726,1.48893,0.0096139,0.0096139,0.0096139
41,699.617,1.32008,1.26453,1.31309,0.71331,0.64736,0.70286,0.43982,1.45662,1.3887,1.43977,0.009604,0.009604,0.009604
42,716.481,1.34424,1.25921,1.31149,0.59851,0.65609,0.65192,0.38777,1.48912,1.68926,1.49487,0.0095941,0.0095941,0.0095941
43,732.197,1.31052,1.24577,1.30304,0.55994,0.63694,0.63393,0.36493,1.53286,1.72624,1.53052,0.0095842,0.0095842,0.0095842
44,748.803,1.3258,1.24486,1.30094,0.6916,0.67198,0.72493,0.43926,1.49115,1.35315,1.50625,0.0095743,0.0095743,0.0095743
45,765.372,1.30539,1.23665,1.30038,0.82983,0.65667,0.74691,0.46102,1.44108,1.27242,1.42804,0.0095644,0.0095644,0.0095644
46,782.286,1.31465,1.22802,1.29741,0.68924,0.49428,0.57091,0.33915,1.65847,2.02863,1.64377,0.0095545,0.0095545,0.0095545
47,799.528,1.3126,1.2238,1.31139,0.67316,0.56758,0.63205,0.38033,1.5804,1.60216,1.51323,0.0095446,0.0095446,0.0095446
48,817.942,1.31216,1.23889,1.29679,0.65875,0.56068,0.57884,0.36584,1.64396,1.84383,1.60674,0.0095347,0.0095347,0.0095347
49,834.409,1.27861,1.19418,1.28475,0.7139,0.65727,0.67584,0.42384,1.51439,1.48119,1.50904,0.0095248,0.0095248,0.0095248
50,851.964,1.27208,1.19491,1.27675,0.73868,0.62647,0.71531,0.45841,1.42366,1.33739,1.4013,0.0095149,0.0095149,0.0095149
51,867.873,1.27874,1.20443,1.27165,0.78831,0.76638,0.81971,0.50913,1.3807,1.16868,1.34487,0.009505,0.009505,0.009505
52,884.676,1.27405,1.17826,1.2774,0.80074,0.70166,0.7885,0.50684,1.40051,1.17887,1.37129,0.0094951,0.0094951,0.0094951
53,900.902,1.26908,1.16097,1.26832,0.78671,0.7157,0.77019,0.48465,1.43383,1.20513,1.42881,0.0094852,0.0094852,0.0094852
54,917.698,1.26643,1.17938,1.26205,0.65021,0.7435,0.73925,0.44665,1.46353,1.2584,1.43878,0.0094753,0.0094753,0.0094753
55,934.116,1.26541,1.15251,1.26549,0.8241,0.78589,0.85701,0.56981,1.29131,1.05457,1.29077,0.0094654,0.0094654,0.0094654
56,951.505,1.26753,1.15416,1.26686,0.75501,0.70164,0.76994,0.48685,1.37817,1.25297,1.41666,0.0094555,0.0094555,0.0094555
57,967.52,1.26112,1.14549,1.26612,0.76507,0.72107,0.79045,0.47706,1.43477,1.22971,1.44479,0.0094456,0.0094456,0.0094456
58,984.162,1.2554,1.14971,1.25768,0.78325,0.68592,0.7693,0.45739,1.40382,1.25665,1.39363,0.0094357,0.0094357,0.0094357
59,1000.76,1.23308,1.13713,1.25108,0.75005,0.73987,0.76768,0.46298,1.47926,1.29244,1.43823,0.0094258,0.0094258,0.0094258
60,1016.48,1.22131,1.10311,1.23593,0.68305,0.66156,0.68833,0.41419,1.52941,1.47415,1.50557,0.0094159,0.0094159,0.0094159
61,1032.96,1.25548,1.10732,1.25237,0.72636,0.72025,0.73729,0.45707,1.50853,1.31166,1.46692,0.009406,0.009406,0.009406
62,1048.74,1.23868,1.12332,1.25393,0.77265,0.69811,0.74706,0.4673,1.47414,1.32296,1.44801,0.0093961,0.0093961,0.0093961
63,1065.14,1.22513,1.10313,1.24019,0.8406,0.7897,0.85627,0.55075,1.32422,1.03849,1.31598,0.0093862,0.0093862,0.0093862
64,1080.89,1.21883,1.09244,1.23554,0.58404,0.61888,0.57807,0.34665,1.50613,1.97465,1.50279,0.0093763,0.0093763,0.0093763
65,1097.33,1.23674,1.09074,1.25712,0.73748,0.69483,0.75852,0.43589,1.42193,1.25447,1.38791,0.0093664,0.0093664,0.0093664
66,1113.42,1.24729,1.10554,1.25314,0.7122,0.74044,0.74559,0.45249,1.43726,1.24063,1.3961,0.0093565,0.0093565,0.0093565
67,1130.86,1.23288,1.10781,1.25011,0.75505,0.6946,0.73017,0.45185,1.46017,1.20209,1.40996,0.0093466,0.0093466,0.0093466
68,1146.64,1.22165,1.09762,1.2446,0.6755,0.56156,0.6243,0.38716,1.59389,1.66614,1.57927,0.0093367,0.0093367,0.0093367
69,1162.41,1.19931,1.08846,1.22924,0.80341,0.77642,0.81926,0.52017,1.36907,1.09424,1.36517,0.0093268,0.0093268,0.0093268
70,1179.31,1.24319,1.08242,1.25002,0.76419,0.78001,0.79219,0.49939,1.37617,1.13626,1.36026,0.0093169,0.0093169,0.0093169
71,1195.62,1.22715,1.08468,1.23944,0.79568,0.82453,0.85959,0.56114,1.31808,0.98509,1.31665,0.009307,0.009307,0.009307
72,1211.91,1.21226,1.09041,1.22986,0.83645,0.80595,0.84939,0.55144,1.29224,0.99772,1.30301,0.0092971,0.0092971,0.0092971
73,1227.75,1.22546,1.08594,1.24347,0.83061,0.81209,0.85654,0.56874,1.25879,0.98777,1.27898,0.0092872,0.0092872,0.0092872
74,1244.81,1.20402,1.05307,1.22411,0.56003,0.6468,0.52793,0.2943,1.55152,2.21414,1.53571,0.0092773,0.0092773,0.0092773
75,1260.65,1.19832,1.05916,1.2244,0.8316,0.78043,0.83054,0.52884,1.34403,1.14269,1.34534,0.0092674,0.0092674,0.0092674
76,1276.99,1.20422,1.05925,1.22607,0.79677,0.79686,0.82218,0.53737,1.36871,1.08207,1.34346,0.0092575,0.0092575,0.0092575
77,1293.44,1.19773,1.03922,1.21939,0.77816,0.70386,0.7565,0.46747,1.3993,1.26259,1.38253,0.0092476,0.0092476,0.0092476
78,1309.14,1.18663,1.0395,1.22072,0.80756,0.73146,0.79227,0.51309,1.39133,1.16894,1.37806,0.0092377,0.0092377,0.0092377
79,1325.76,1.19283,1.04711,1.21617,0.6678,0.69447,0.73348,0.44585,1.46634,1.28627,1.46187,0.0092278,0.0092278,0.0092278
